sleeper_player_id,first_name,last_name,full_name,position,nfl_team,number,status,injury_status
11773,Keilan,Robinson,Keilan Robinson,RB,NYJ,36,Active,Out
13190,Taylor,Elgersma,Taylor Elgersma,QB,,19,Active,
8249,Lucas,Krull,Lucas Krull,TE,DEN,85,Inactive,IR
11895,Mason,Tipton,Mason Tipton,WR,NO,15,Active,
8207,Tyler,Goodson,Tyler Goodson,RB,IND,31,Active,
4189,Eric,Saubert,Eric Saubert,TE,SEA,81,Active,
11943,Michael,Wiley,Michael Wiley,RB,TB,30,Active,
7859,Nick,Eubanks,Nick Eubanks,TE,,47,Active,
6984,Tony,Jones,Tony Jones,RB,,37,Active,
11231,Christian,Trahan,Christian Trahan,TE,,85,Active,
5230,Michael,Badgley,Michael Badgley,K,IND,12,Active,
8254,Julius,Chestnut,Julius Chestnut,RB,TEN,36,Active,
10228,Charlie,Jones,Charlie Jones,WR,CIN,15,Active,
12935,Jakobie,Keeney-James,Jakobie Keeney-James,WR,GB,84,Active,
6798,Jalen,Reagor,Jalen Reagor,WR,,88,Active,
818,Bilal,Powell,Bilal Powell,RB,,29,Active,
2251,Logan,Thomas,Logan Thomas,TE,,48,Active,
801,Charles,Clay,Charles Clay,TE,,85,Active,
10860,Malik,Cunningham,Malik Cunningham,WR,DET,80,Active,
3433,Alex,Erickson,Alex Erickson,WR,,82,Active,
11901,Kyle,Sheets,Kyle Sheets,WR,,,Active,
775,Stephen,Hauschka,Stephen Hauschka,K,,0,Injured Reserve,
12788,Will,Sheppard,Will Sheppard,WR,GB,82,Active,
11065,Adrian,Martinez,Adrian Martinez,QB,SF,4,Active,
12967,Jacolby,George,Jacolby George,WR,,80,Active,
6421,Jalen,Guyton,Jalen Guyton,WR,,4,Active,
5284,Jeff,Wilson,Jeff Wilson,RB,MIA,34,Active,
12897,Nathan,Carter,Nathan Carter,RB,ATL,38,Active,
11283,Darius,Hagans,Darius Hagans,RB,,25,Active,
12048,George,Holani,George Holani,RB,SEA,36,Active,
9227,Israel,Abanikanda,Israel Abanikanda,RB,,28,Active,
11522,Jerome,Kapp,Jerome Kapp,WR,,31,Active,
7595,Tylan,Wallace,Tylan Wallace,WR,BAL,16,Active,
11367,Daewood,Davis,Daewood Davis,WR,,39,Inactive,Questionable
11483,Ellis,Merriweather,Ellis Merriweather,RB,,38,Active,Out
6126,Irv,Smith,Irv Smith,TE,,83,Inactive,Questionable
745,Marshawn,Lynch,Marshawn Lynch,RB,,0,Injured Reserve,
8202,Michael,Woods,Michael Woods,WR,,81,Inactive,
3634,Kalif,Raymond,Kalif Raymond,WR,DET,11,Active,
5052,Ronald,Jones,Ronald Jones,RB,,32,Active,
8246,Bryant,Koback,Bryant Koback,RB,,40,Inactive,
9512,DeWayne,McBride,DeWayne McBride,RB,,27,Active,
11056,Jared,Wayne,Jared Wayne,WR,HOU,89,Active,
7537,Jaret,Patterson,Jaret Patterson,RB,LAC,32,Active,
13066,Ben,Sauls,Ben Sauls,K,ATL,41,Active,
4314,Johnny,Mundt,Johnny Mundt,TE,JAX,86,Active,
8800,Malik,Davis,Malik Davis,RB,DAL,21,Active,
12756,Stephen,Gosnell,Stephen Gosnell,WR,BUF,89,Active,
886,Taiwan,Jones,Taiwan Jones,RB,,36,Active,
10218,Xavier,Hutchinson,Xavier Hutchinson,WR,HOU,19,Active,
4029,Dalvin,Cook,Dalvin Cook,RB,,20,Active,
5121,Braxton,Berrios,Braxton Berrios,WR,HOU,17,Active,Questionable
6996,JaMycal,Hasty,JaMycal Hasty,RB,MIA,37,Active,
12938,Jackson,Meeks,Jackson Meeks,WR,DET,83,Active,
4443,Pharaoh,Brown,Pharaoh Brown,TE,ARI,49,Active,
7203,Antonio,Williams,Antonio Williams,RB,,21,Active,
5854,Drew,Lock,Drew Lock,QB,SEA,2,Active,
5170,Phillip,Lindsay,Phillip Lindsay,RB,,30,Active,
12831,Tyler,Kahmann,Tyler Kahmann,WR,,43,Active,
11995,Zack,Annexstad,Zack Annexstad,QB,,,Active,
11377,Tyrell,Shavers,Tyrell Shavers,WR,BUF,14,Active,
6834,Jared,Pinkney,Jared Pinkney,TE,,46,Inactive,Questionable
12488,Kobe,Hudson,Kobe Hudson,WR,,86,Active,
12803,Luke,Grimm,Luke Grimm,WR,LAC,87,Active,
11593,Brevyn,Spann-Ford,Brevyn Spann-Ford,TE,DAL,89,Active,
11808,Jha'Quan,Jackson,Jha'Quan Jackson,WR,,19,Active,
606,Joe,Webb,Joe Webb,QB,,0,Active,
4996,Kyle,Lauletta,Kyle Lauletta,QB,,0,Active,
12154,Messiah,Swinson,Messiah Swinson,TE,,43,Active,
12975,JJ,Galbreath,JJ Galbreath,TE,,87,Active,
11467,John Samuel,Shenker,John Samuel Shenker,TE,,86,Active,
