id,source_website,week,player_first_name,player_last_name,position,projected_points,created_at,updated_at,team
17160,fantasypros.com,Week 11,Gardner,Minshew II,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,KC
17161,fantasypros.com,Week 11,Drew,Lock,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,SEA
17162,fantasypros.com,Week 11,Case,Keenum,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CHI
17211,fantasypros.com,Week 11,Zonovan,Knight,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,ARI
17212,fantasypros.com,Week 11,Justice,Hill,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BAL
17213,fantasypros.com,Week 11,Ty,Johnson,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BUF
17214,fantasypros.com,Week 11,Chris,Rodriguez Jr.,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,WAS
17215,fantasypros.com,Week 11,Dylan,Sampson,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CLE
17216,fantasypros.com,Week 11,Keaton,Mitchell,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BAL
17217,fantasypros.com,Week 11,Brashard,Smith,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,KC
17218,fantasypros.com,Week 11,Tyler,Badie,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DEN
17219,fantasypros.com,Week 11,Jerome,Ford,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CLE
17220,fantasypros.com,Week 11,Tank,Bigsby,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PHI
17221,fantasypros.com,Week 11,Jaret,Patterson,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,LAC
17222,fantasypros.com,Week 11,Terrell,Jennings,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NE
17223,fantasypros.com,Week 11,Ray,Davis,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BUF
17224,fantasypros.com,Week 11,Michael,Carter,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,ARI
17225,fantasypros.com,Week 11,Raheem,Mostert,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,LV
17226,fantasypros.com,Week 11,J.K.,Dobbins,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DEN
17227,fantasypros.com,Week 11,D'Ernest,Johnson,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NE
17228,fantasypros.com,Week 11,Tahj,Brooks,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CIN
17229,fantasypros.com,Week 11,Kaleb,Johnson,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PIT
17230,fantasypros.com,Week 11,Chris,Brooks,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,GB
17231,fantasypros.com,Week 11,Isiah,Pacheco,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,KC
17232,fantasypros.com,Week 11,LeQuint,Allen Jr.,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:26:13,JAX
17233,fantasypros.com,Week 11,Will,Shipley,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PHI
17234,fantasypros.com,Week 11,Jaydon,Blue,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DAL
17235,fantasypros.com,Week 11,Clyde,Edwards-Helaire,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,KC
17236,fantasypros.com,Week 11,A.J.,Dillon,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PHI
17237,fantasypros.com,Week 11,Phil,Mafah,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DAL
17238,fantasypros.com,Week 11,Kyle,Juszczyk,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,SF
17239,fantasypros.com,Week 11,Jaylen,Wright,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,MIA
17240,fantasypros.com,Week 11,Trey,Benson,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,ARI
17241,fantasypros.com,Week 11,Dare,Ogunbowale,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,HOU
17242,fantasypros.com,Week 11,Alec,Ingold,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,MIA
17243,fantasypros.com,Week 11,George,Holani,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,SEA
17244,fantasypros.com,Week 11,Trevor,Etienne,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CAR
17245,fantasypros.com,Week 11,Adam,Prentice,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DEN
17246,fantasypros.com,Week 11,Hunter,Luepke,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DAL
17247,fantasypros.com,Week 11,Dylan,Laube,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,LV
17248,fantasypros.com,Week 11,Zavier,Scott,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,MIN
17249,fantasypros.com,Week 11,Patrick,Ricard,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BAL
17250,fantasypros.com,Week 11,Bucky,Irving,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,TB
17251,fantasypros.com,Week 11,Jaleel,McLaughlin,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DEN
17252,fantasypros.com,Week 11,Brittain,Brown,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CHI
17253,fantasypros.com,Week 11,Travis,Homer,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CHI
17254,fantasypros.com,Week 11,Josh,Williams S,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,TB
17255,fantasypros.com,Week 11,Nathan,Carter,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,ATL
17256,fantasypros.com,Week 11,Dante,Miller,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NYG
17257,fantasypros.com,Week 11,Isaac,Guerendo,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,SF
17258,fantasypros.com,Week 11,Roschon,Johnson,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CHI
17259,fantasypros.com,Week 11,Julius,Chestnut,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,TEN
17260,fantasypros.com,Week 11,Sione,Vaki,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DET
17261,fantasypros.com,Week 11,British,Brooks,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,HOU
17262,fantasypros.com,Week 11,C.J.,Ham,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,MIN
17263,fantasypros.com,Week 11,Cam,Akers,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,MIN
17264,fantasypros.com,Week 11,Craig,Reynolds,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DET
17265,fantasypros.com,Week 11,Malik,Davis,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DAL
17266,fantasypros.com,Week 11,Trey,Sermon,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,FA
17267,fantasypros.com,Week 11,Donovan,Edwards,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,WAS
17268,fantasypros.com,Week 11,Sincere,McCormick,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,SF
17269,fantasypros.com,Week 11,Kene,Nwangwu,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NYJ
17270,fantasypros.com,Week 11,Reggie,Gilliam,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BUF
17271,fantasypros.com,Week 11,Jonathan,Ward,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NE
17272,fantasypros.com,Week 11,Samaje,Perine,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CIN
17273,fantasypros.com,Week 11,Trayveon,Williams,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,LAC
17274,fantasypros.com,Week 11,Dameon,Pierce,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,HOU
17275,fantasypros.com,Week 11,Elijah,Mitchell,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,KC
17276,fantasypros.com,Week 11,Rhamondre,Stevenson,RB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NE
17346,fantasypros.com,Week 11,Charlie,Kolar,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BAL
17347,fantasypros.com,Week 11,Noah,Gray,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,KC
17348,fantasypros.com,Week 11,Daniel,Bellinger,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NYG
17349,fantasypros.com,Week 11,Tommy,Tremble,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CAR
17350,fantasypros.com,Week 11,Austin,Hooper,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NE
17351,fantasypros.com,Week 11,Brenton,Strange,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:26:13,JAX
17352,fantasypros.com,Week 11,Adam,Trautman,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DEN
17353,fantasypros.com,Week 11,Tyler,Conklin,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,LAC
17354,fantasypros.com,Week 11,Dalton,Kincaid,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BUF
17355,fantasypros.com,Week 11,John,Bates,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,WAS
17356,fantasypros.com,Week 11,John,FitzPatrick,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,GB
17357,fantasypros.com,Week 11,Tucker,Fisk,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,LAC
17358,fantasypros.com,Week 11,Harrison,Bryant,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,HOU
17359,fantasypros.com,Week 11,Tanner,Hudson,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CIN
17360,fantasypros.com,Week 11,Brock,Wright,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DET
17361,fantasypros.com,Week 11,Mitchell,Evans,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CAR
17362,fantasypros.com,Week 11,Luke,Schoonmaker,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DAL
17363,fantasypros.com,Week 11,Jeremy,Ruckert,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NYJ
17364,fantasypros.com,Week 11,Luke,Farrell,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,SF
17365,fantasypros.com,Week 11,Jake,Tonges,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,SF
17366,fantasypros.com,Week 11,Connor,Heyward,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PIT
17367,fantasypros.com,Week 11,Charlie,Woerner,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,ATL
17368,fantasypros.com,Week 11,Thomas,Fidone II,TE,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,NYG
17884,fanduel.com,Week 11,Trent,Sherfield,WR,1.0,2025-11-13 05:21:22,2025-11-13 05:21:22,DEN
18408,sleeper.com,Week 12,Dare,Ogunbowale,RB,1.0,2025-11-20 17:45:26,2025-11-20 17:59:20,HOU
18409,sleeper.com,Week 12,Johnny,Mundt,TE,1.0,2025-11-20 17:45:26,2025-11-20 17:59:20,JAX
18410,sleeper.com,Week 12,Jermaine,Burton,WR,1.0,2025-11-20 17:45:26,2025-11-20 17:59:20,CIN
18411,sleeper.com,Week 12,Cade,Stover,TE,1.0,2025-11-20 17:45:26,2025-11-20 17:59:20,HOU
19966,fantasypros.com,Week 12,Graham,Mertz,QB,1.0,2025-11-20 18:01:42,2025-11-20 18:01:42,HOU
19967,fantasypros.com,Week 12,Teddy,Bridgewater,QB,1.0,2025-11-20 18:01:42,2025-11-20 18:01:42,TB
20040,fantasypros.com,Week 12,Trey,Benson,RB,1.0,2025-11-20 18:01:42,2025-11-20 18:01:42,ARI
20041,fantasypros.com,Week 12,Josh,Jacobs,RB,1.0,2025-11-20 18:01:42,2025-11-20 18:01:42,GB
24790,fantasypros.com,Week 13,Jarrett,Stidham,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,DEN
24791,fantasypros.com,Week 13,Russell,Wilson,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,NYG
24792,fantasypros.com,Week 13,Mitchell,Trubisky,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,BUF
24793,fantasypros.com,Week 13,Andy,Dalton,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,CAR
24794,fantasypros.com,Week 13,Nick,Mullens,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,JAX
24795,fantasypros.com,Week 13,Joe,Milton III,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,DAL
24796,fantasypros.com,Week 13,Tanner,McKee,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,PHI
24797,fantasypros.com,Week 13,Spencer,Rattler,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,NO
24798,fantasypros.com,Week 13,Riley,Leonard,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,IND
24799,fantasypros.com,Week 13,Zach,Wilson,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,MIA
24800,fantasypros.com,Week 13,Brandon,Allen,QB,1.0,2025-11-26 18:38:08,2025-11-26 18:38:08,TEN
