sleeper_player_id,match_method,source_website,week,player_first_name,player_last_name,position,team,projected_points,created_at
8917,automatic,fanduel.com,Week 11,KaVontae,Turpin,WR,DAL,4.52,2025-11-20 18:03:39
12485,automatic,fanduel.com,Week 10,Tez,Johnson,WR,TB,4.51,2025-11-20 18:03:39
5906,automatic,sleeper.com,Week 10,Dawson,Knox,TE,BUF,4.5,2025-11-20 18:03:39
8180,automatic,sleeper.com,Week 10,Jalen,Nailor,WR,MIN,4.5,2025-11-20 18:03:39
12490,automatic,espn.com,Week 10,Bhayshul,Tuten,RB,JAX,4.5,2025-11-20 18:03:39
2374,automatic,fantasypros.com,Week 10,Tyler,Lockett,WR,LV,4.5,2025-11-20 18:03:39
8119,automatic,fantasypros.com,Week 10,Jahan,Dotson,WR,PHI,4.5,2025-11-20 18:03:39
SF,dst_team_match,fantasypros.com,Week 10,San Francisco 49ers,Defense,DST,SF,4.5,2025-11-20 18:03:39
4082,automatic,sleeper.com,Week 11,Curtis,Samuel,WR,BUF,4.5,2025-11-20 18:03:39
7571,automatic,sleeper.com,Week 11,Rashod,Bateman,WR,BAL,4.5,2025-11-20 18:03:39
4454,automatic,sleeper.com,Week 11,Kendrick,Bourne,WR,SF,4.5,2025-11-20 18:03:39
8161,automatic,fantasypros.com,Week 11,Malik,Willis,QB,GB,4.5,2025-11-20 18:03:39
CLE,dst_team_match,fantasypros.com,Week 11,Cleveland Browns,Defense,DST,CLE,4.5,2025-11-20 18:03:39
8136,automatic,sleeper.com,Week 12,Rachaad,White,RB,TB,4.5,2025-11-20 18:03:39
5995,automatic,espn.com,Week 12,Justice,Hill,RB,BAL,4.5,2025-11-20 18:03:39
IND,dst_team_match,fantasypros.com,Week 12,Indianapolis Colts,Defense,DST,IND,4.5,2025-11-20 18:03:39
11571,automatic,fanduel.com,Week 10,Isaiah,Davis,RB,NYJ,4.47,2025-11-20 18:03:39
12541,automatic,fanduel.com,Week 11,Dont'e,Thornton Jr.,WR,LV,4.47,2025-11-20 18:03:39
11377,automatic,fanduel.com,Week 12,Tyrell,Shavers,WR,BUF,4.42,2025-11-20 18:03:39
11608,automatic,fanduel.com,Week 12,Isaiah,Williams,WR,NYJ,4.42,2025-11-20 18:03:39
6865,automatic,fanduel.com,Week 12,Colby,Parkinson,TE,LAR,4.42,2025-11-20 18:03:39
6826,automatic,fanduel.com,Week 11,Cole,Kmet,TE,CHI,4.41,2025-11-20 18:03:39
1426,automatic,sleeper.com,Week 10,DeAndre,Hopkins,WR,BAL,4.4,2025-11-20 18:03:39
4381,automatic,espn.com,Week 10,Taysom,Hill,TE,NO,4.4,2025-11-20 18:03:39
9225,automatic,fantasypros.com,Week 10,Tank,Bigsby,RB,PHI,4.4,2025-11-20 18:03:39
9506,automatic,fantasypros.com,Week 10,Sean,Tucker,RB,TB,4.4,2025-11-20 18:03:39
11834,automatic,fantasypros.com,Week 10,Devaughn,Vele,WR,NO,4.4,2025-11-20 18:03:39
11623,automatic,sleeper.com,Week 11,Jordan,Whittington,WR,LAR,4.4,2025-11-20 18:03:39
11371,automatic,espn.com,Week 11,Julian,Hill,TE,MIA,4.4,2025-11-20 18:03:39
TEN,dst_team_match,espn.com,Week 11,Titans D/ST,Defense,DST,TEN,4.4,2025-11-20 18:03:39
BUF,dst_team_match,espn.com,Week 11,Bills D/ST,Defense,DST,BUF,4.4,2025-11-20 18:03:39
7567,automatic,fantasypros.com,Week 11,Kenneth,Gainwell,RB,PIT,4.4,2025-11-20 18:03:39
11600,automatic,fantasypros.com,Week 11,Ja'Tavion,Sanders,TE,CAR,4.4,2025-11-20 18:03:39
4988,automatic,sleeper.com,Week 12,Nick,Chubb,RB,HOU,4.4,2025-11-20 18:03:39
4040,automatic,sleeper.com,Week 12,JuJu,Smith-Schuster,WR,KC,4.4,2025-11-20 18:03:39
12658,automatic,sleeper.com,Week 12,Jackson,Hawes,TE,BUF,4.4,2025-11-20 18:03:39
6826,automatic,espn.com,Week 12,Cole,Kmet,TE,CHI,4.4,2025-11-20 18:03:39
11571,automatic,fantasypros.com,Week 12,Isaiah,Davis,RB,NYJ,4.4,2025-11-20 18:03:39
6039,automatic,fantasypros.com,Week 12,Ty,Johnson,RB,BUF,4.4,2025-11-20 18:03:39
,,fantasypros.com,Week 12,Matthew,Wright,K,FA,4.4,2025-11-20 18:03:39
8154,automatic,fanduel.com,Week 11,Brian,Robinson,RB,SF,4.38,2025-11-20 18:03:39
6960,automatic,fanduel.com,Week 12,Tyler,Johnson,WR,NYJ,4.38,2025-11-20 18:03:39
6826,automatic,fanduel.com,Week 12,Cole,Kmet,TE,CHI,4.37,2025-11-20 18:03:39
4381,automatic,fanduel.com,Week 12,Taysom,Hill,TE,NO,4.32,2025-11-20 18:03:39
12519,automatic,fanduel.com,Week 10,Luther,Burden III,WR,CHI,4.31,2025-11-20 18:03:39
4983,automatic,fanduel.com,Week 11,D.J.,Moore,WR,CHI,4.31,2025-11-20 18:03:39
ARI,dst_team_match,espn.com,Week 10,Cardinals D/ST,Defense,DST,ARI,4.3,2025-11-20 18:03:39
7537,automatic,fantasypros.com,Week 10,Jaret,Patterson,RB,LAC,4.3,2025-11-20 18:03:39
12547,automatic,fantasypros.com,Week 10,Kyle,Williams,WR,NE,4.3,2025-11-20 18:03:39
12483,automatic,sleeper.com,Week 11,Jack,Bech,WR,LV,4.3,2025-11-20 18:03:39
5995,automatic,sleeper.com,Week 12,Justice,Hill,RB,BAL,4.3,2025-11-20 18:03:39
11921,automatic,sleeper.com,Week 12,Xavier,Weaver,WR,ARI,4.3,2025-11-20 18:03:39
12455,automatic,sleeper.com,Week 12,Brashard,Smith,RB,KC,4.3,2025-11-20 18:03:39
8225,automatic,sleeper.com,Week 12,Daniel,Bellinger,TE,NYG,4.3,2025-11-20 18:03:39
9482,automatic,sleeper.com,Week 12,Michael,Mayer,TE,LV,4.3,2025-11-20 18:03:39
PHI,dst_team_match,espn.com,Week 12,Eagles D/ST,Defense,DST,PHI,4.3,2025-11-20 18:03:39
12469,automatic,fantasypros.com,Week 12,Dylan,Sampson,RB,CLE,4.3,2025-11-20 18:03:39
12502,automatic,fantasypros.com,Week 12,Gunnar,Helm,TE,TEN,4.3,2025-11-20 18:03:39
10231,automatic,fantasypros.com,Week 12,Elijah,Higgins,TE,ARI,4.3,2025-11-20 18:03:39
